GCF_001467055.1	ASM146705v1	Legionella adelaidensis
GCF_001467505.1	ASM146750v1	Legionella birminghamensis
GCF_001467525.1	ASM146752v1	Legionella anisa
GCF_001467535.1	ASM146753v1	Legionella worsleiensis
GCF_001467545.1	ASM146754v1	Legionella cincinnatiensis
GCF_001467585.1	ASM146758v1	Legionella drozanskii LLAP-1
GCF_001467605.1	ASM146760v1	Fluoribacter dumoffii NY 23
GCF_001467615.1	ASM146761v1	Legionella erythra
GCF_001467625.1	ASM146762v1	Legionella feeleii
GCF_001467645.1	ASM146764v1	Legionella geestiana
GCF_001467685.1	ASM146768v1	Fluoribacter gormanii
GCF_001467695.1	ASM146769v1	Legionella gratiana
GCF_001467705.1	ASM146770v1	Legionella hackeliae
GCF_001467745.1	ASM146774v1	Legionella jamestowniensis
GCF_001467765.1	ASM146776v1	Legionella jordanis
GCF_001467785.1	ASM146778v1	Legionella israelensis
GCF_001467795.1	ASM146779v1	Legionella lansingensis
GCF_001467825.1	ASM146782v1	Legionella londiniensis
GCF_001467845.1	ASM146784v1	Legionella maceachernii
GCF_001467865.1	ASM146786v1	Legionella moravica
GCF_001467875.1	ASM146787v1	Tatlockia micdadei
GCF_001467895.1	ASM146789v1	Legionella nautarum
GCF_001467925.1	ASM146792v1	Legionella oakridgensis
GCF_001467945.1	ASM146794v1	Legionella parisiensis
GCF_001467955.1	ASM146795v1	Legionella quateirensis
GCF_001467975.1	ASM146797v1	Legionella quinlivanii
GCF_001468005.1	ASM146800v1	Legionella steelei
GCF_001468025.1	ASM146802v1	Legionella shakespearei DSM 23087
GCF_001468035.1	ASM146803v1	Legionella tucsonensis
GCF_001468065.1	ASM146806v1	Legionella steigerwaltii
GCF_001468085.1	ASM146808v1	Legionella waltersii
GCF_001468105.1	ASM146810v1	Legionella sainthelensi
GCF_001468125.1	ASM146812v1	Legionella rubrilucens
GCF_001468135.1	ASM146813v1	Legionella santicrucis
GCF_001468165.1	ASM146816v1	Legionella spiritensis
GCF_001549915.1	ASM154991v1	Legionella pneumophila
GCF_001549925.1	ASM154992v1	Legionella pneumophila
GCF_001582135.1	ASM158213v1	Legionella pneumophila
GCF_001582145.1	ASM158214v1	Legionella pneumophila
GCF_001582155.1	ASM158215v1	Legionella pneumophila
GCF_001582165.1	ASM158216v1	Legionella pneumophila subsp. pneumophila ATCC 43283
GCF_001582215.1	ASM158221v1	Legionella pneumophila
GCF_001582225.1	ASM158222v1	Legionella pneumophila
GCF_001582235.1	ASM158223v1	Legionella pneumophila
GCF_001582245.1	ASM158224v1	Legionella pneumophila
GCF_001582295.1	ASM158229v1	Legionella pneumophila
GCF_001582305.1	ASM158230v1	Legionella pneumophila
GCF_001582315.1	ASM158231v1	Legionella pneumophila
GCF_001582325.1	ASM158232v1	Legionella pneumophila
GCF_001582375.1	ASM158237v1	Legionella pneumophila
GCF_001582385.1	ASM158238v1	Legionella pneumophila
GCF_001582395.1	ASM158239v1	Legionella pneumophila
GCF_001582405.1	ASM158240v1	Legionella pneumophila
GCF_001582455.1	ASM158245v1	Legionella pneumophila
GCF_001582465.1	ASM158246v1	Legionella pneumophila
GCF_001582475.1	ASM158247v1	Legionella pneumophila
GCF_001582485.1	ASM158248v1	Legionella pneumophila
GCF_001582535.1	ASM158253v1	Legionella pneumophila
GCF_001582545.1	ASM158254v1	Legionella pneumophila
GCF_001582555.1	ASM158255v1	Legionella pneumophila
